nom;details;adresse;ville;longitude;latitude
CREPERIE LE GALLO;Restaurant de spécialités;21 rue de Dinan;35400 St Malo;-2.0266072;48.6466316
CREPERIE LE MARCHE;Restaurant de spécialités;4 Place du Marché aux Legumes;35400 ST MALO;-2.026186;48.6486808
CREPERIE LE MOLE;Restaurant de spécialités;3 Rue de Dinan;35400 ST MALO;-2.0262826;48.6464627
CREPERIE LE MOULIN DU MONT;Restaurant traditionnel;11 Lieu Dit le Tertre;35120 MONT DOL;-1.7691514;48.5731482
CREPERIE LE P'TIT CRABE;Restaurant de spécialités;1 rue Gouin de Beauchesne;35400 St Malo;-2.026297;48.6489943
CREPERIE LE PETIT MALOUIN;Restaurant de spécialités;6 rue de la Vieille Boucherie;35400 St Malo;-2.0255639;48.64858
CREPERIE LE PRESSOIR;Restaurant de spécialités;16 place de l Eglise;35850 Romille;-1.8913936;48.2156779
CREPERIE LE QUATRIÈME;Restaurant de spécialités;2 RUE DE SAINT OUEN;35460 ST BRICE EN COGLES;-1.3652685;48.411693
CREPERIE LE RAOUL II;Restaurant traditionnel;3 place raoul II;35300 FOUGERES;-1.2085727459996;48.354754912
CREPERIE LE RELAIS DES ONDES;Snack (sur place);30 Rue du Bord de Mer;35114 ST BENOIT DES ONDES;-1.8513597;48.6199294
CREPERIE LE RELAIS DES PRINCES;Restaurant de spécialités;11 rue des Princes;35270 Combourg;-1.7522472;48.4085813
CREPERIE LE ROUABLE D'OR;Restaurant de spécialités;57 AVENUE DE LA LIBERATION;35380 PLELAN LE GRAND;-2.0980906815165;48.001969739108
CREPERIE LE SAINT CORNELY;Restaurant de spécialités;53 boulevard de la Liberte;35000 RENNES;-1.6842019;48.1084342
CREPERIE LE SOLIDOR;Restaurant de spécialités;23 RUE JACQUES CARTIER;35400 ST MALO;-2.0232527586705;48.650129863726
CREPERIE LE TOURMENTIN;Restaurant traditionnel;1 PLACE DE LA CHAPELLE;35260 CANCALE;-1.8529128709995;48.671212204
CREPERIE LE TOURNESOL;Restaurant de spécialités;4 rue des Marins;35400 St Malo;-2.0247582;48.6490095
CREPERIE LE TRISKELL;Restaurant de spécialités;15 RUE FRANCOIS CHAPIN;35230 NOYAL CHATILLON SUR SEICHE;-1.6612733294477;48.042662647239
CREPERIE LES AJONCS;Restaurant de spécialités;les Saudrais;35490 SENS DE BRETAGNE;-1.5353005;48.3159886
CREPERIE LES BLÉS D'OR;Restaurant traditionnel;62 Rue de la Poterie;35131 CHARTRES DE BRETAGNE;-1.7029495;48.0415368
CREPERIE LES FEES GOURMANDES;Restaurant de spécialités;9 PLACE DE LA MAIRIE;35630 HEDE BAZOUGES;-1.8018085860407;48.296786175688
CREPERIE LES HALLES;Restaurant traditionnel;28 RUE DU DOCTEUR ROUX;35150 JANZE;-1.4965606573663;47.960307157366
CREPERIE LES KORRIGANS;Restaurant traditionnel;18 RUE DES CORDIERS;35400 ST MALO;-2.0241712;48.6486003
CREPERIE MEVENNAISE;Restaurant de spécialités;19 PLACE DU GENERAL PATTON;35290 ST MEEN LE GRAND;-2.200252143632;48.194162528998
CREPERIE MRS TEAPOT;Restaurant de spécialités;28 rue d Embas;35500 Vitre;-1.2145262;48.1236016
CREPERIE NOTRE DAME;Restaurant de spécialités;26 Rue Notre-Dame;35130 LA GUERCHE DE BRETAGNE;-1.2317915;47.9421415
CREPERIE NOTRE DAME;Restaurant de spécialités;26 rue Notre-Dame;35130 La Guerche De Bretagne;-1.2317915;47.9421415
CREPERIE PAYSANNE;Restaurant traditionnel;6 PLACE SAINTE ANNE;35000 RENNES;-1.6800789714064;48.114148913959
CREPERIE PILE OU FACE;Restaurant de spécialités;2 rue du Manoir;35550 Loheac;-1.8864934;47.8668158
CREPERIE PIZZERIA AUX DELICES DES SENS;Restaurant traditionnel;2 RUE DE LA LIBERATION;35720 PLEUGUENEUC;-1.9029851;48.3979574
CREPERIE PIZZERIA DES HALLES;Restaurant traditionnel;28 Rue du Général Leclerc;35580 GUICHEN;-1.7961568;47.967753
CREPERIE QUAI DES CREPES;Restaurant de spécialités;6 rue de l Orme;35400 St Malo;-2.0249905;48.6479801
CREPERIE RESTAURANT;Restaurant traditionnel;42 RUE DE RENNES;35340 LIFFRE;-1.5090235219996;48.213797188
CREPERIE RESTAURANT LE BRETAGNE;Restaurant traditionnel;2 RUE DE SAINT BRIEUC;35137 BEDEE;-1.945796888424;48.180362175688
CREPERIE ST MELAINE;Restaurant de spécialités;13 rue Saint-Melaine;35000 Rennes;-1.6779773;48.1149316
CREPERIE ST PIERRE;Restaurant de spécialités;5 rue Saint-Pierre;35150 Janze;-1.498324;47.9599147
CREPERIE TANTE SUZETTE;Restaurant de spécialités;2 rue de la Pinterie;35300 Fougeres;-1.2032789;48.3547688
CREPERIE TIMOTHY;Restaurant de spécialités;7 RUE DE LA VIEILLE BOUCHERIE;35400 ST MALO;-2.0255136494604;48.648561097697
CREPERIELA PARENTHÈSE;Restaurant de spécialités;1 Boulevard de la Liberté;35000 RENNES;-1.6745755;48.1074052
CRESCENDO;Restaurant traditionnel;25 RUE DE L ETANG AU DIABLE;35760 ST GREGOIRE;-1.6852971145118;48.136613012473
CRESCENDO;Restaurant traditionnel;LIEU DIT LE PETIT LAUNAY;35410 CHATEAUGIRON;-1.5119231093701;48.040441399148
CROISIERES CHATEAUBRIAND;Promenades fluviales;Barrage de la Rance;35780 LA RICHARDAIS;-2.0341456589996;48.619210701
CRÊPERIE AU COTTAGE;Restaurant de spécialités;18 PLACE DE L EGLISE;35890 BOURG DES COMPTES;-1.7388237886491;47.928803427145
CRÊPERIE DE FAMILLE;Restaurant de spécialités;165 BD ST J B DE LA SALLE;35000 RENNES;-1.7029390335853;48.115195889809
CRÊPERIE DE L'ETANG;Restaurant de spécialités;ZI de l' Etang;35760 ST GREGOIRE;-1.683146;48.153561
CRÊPERIE DU ROY;Restaurant de spécialités;9 BOULEVARD FEART;35800 DINARD;-2.0547219970858;48.634077048849
CRÊPERIE DÉLICES;Restaurant de spécialités;46 RUE DU GENERAL LECLERC;35580 GUICHEN;-1.7964789358878;47.967162684431
CRÊPERIE L'EQUIPAGE;Restaurant de spécialités;6 RUE JACQUES CARTIER;35400 ST MALO;-2.0237568967097;48.649487437352
CRÊPERIE L'HEURE DE LA GALETTE;Restaurant de spécialités;18 PLACE CHARLES DE GAULLE;35420 LOUVIGNE DU DESERT;-1.1227359069996;48.481497288
CRÊPERIE LA BRÉTILLIENNE;Snack (sur place);7 RUE PASTEUR;35550 PIPRIAC;-1.9480112;47.8081609
CRÊPERIE LA GALTOU'Z;Restaurant de spécialités;25 Place du Général Patton;35290 ST MEEN LE GRAND;-2.192985;48.189812
CRÊPERIE LA GALTOU'Z;Restaurant de spécialités;25 PLACE DU GENERAL PATTON;35290 ST MEEN LE GRAND;-2.178175;48.217605
